,Streams,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,Score,duration
695,134177,0.633,0.765,0.688,0.0,4,0.0734,-5.566,1,0.0841,90.01299999999998,4,0.434,-0.6525275275939626,230.0
696,187334,0.224,0.61,0.639,0.0,10,0.313,-6.257999999999999,1,0.0806,139.615,4,0.456,-0.3072230286690061,156.0
697,4739107,0.239,0.936,0.523,0.0,5,0.117,-6.71,1,0.0597,119.889,4,0.6990000000000001,1.3621447648432243,124.0
698,220913,0.472,0.8240000000000001,0.639,0.0,4,0.105,-5.706,0,0.348,126.058,4,0.555,-0.15053924732698334,196.0
699,83832,0.0115,0.438,0.805,0.000667,5,0.133,-4.284,0,0.0728,150.174,4,0.31,-0.5892342821375472,252.0
700,1397086,0.398,0.77,0.847,0.0,9,0.151,-3.102,1,0.0799,119.959,4,0.823,0.8091264346281825,182.0
701,3892800,0.133,0.67,0.63,0.0,1,0.118,-3.651,1,0.0694,86.025,4,0.5820000000000001,1.2959391673247351,182.0
702,18095,0.0127,0.514,0.858,0.0528,2,0.251,-5.995,1,0.0896,89.833,4,0.6,-1.4817957751674768,195.0
703,78807,0.0022,0.3670000000000001,0.915,5.81e-05,9,0.0905,-3.4560000000000004,0,0.0488,110.169,4,0.365,-0.6336258665270933,207.0
704,1049980,0.393,0.728,0.742,0.0,5,0.119,-5.382999999999999,0,0.251,96.948,4,0.231,0.6459377910776819,196.0
705,1505265,0.0915,0.552,0.6890000000000001,0.0,10,0.27,-6.444,0,0.0425,99.961,4,0.349,0.9293052936677365,170.0
706,14639,0.619,0.7020000000000001,0.561,0.0,4,0.0622,-5.3610000000000015,0,0.0497,120.023,4,0.362,-1.5048425904589369,252.0
707,21559,0.0341,0.92,0.722,9.05e-06,10,0.0952,-6.581,0,0.203,123.02,4,0.643,-1.4452184275984192,148.0
708,48050,0.302,0.539,0.675,0.0,10,0.105,-5.3870000000000005,0,0.265,97.021,4,0.53,-0.9405740516936191,257.0
709,23100,0.207,0.648,0.792,0.0,7,0.135,-5.443,0,0.224,129.056,4,0.545,-1.4817957751674768,209.0
710,388566,0.313,0.6,0.787,1.3800000000000003e-05,11,0.104,-5.996,0,0.333,145.672,4,0.586,0.12544925082183694,184.0
711,5402007,0.28600000000000003,0.828,0.8009999999999999,9.67e-06,1,0.362,-5.907,0,0.0924,127.971,4,0.778,1.4361952815362387,234.0
712,18360,0.43,0.674,0.66,3e-05,1,0.119,-8.293,1,0.249,93.449,4,0.652,-1.5376269536178724,193.0
713,41379,0.273,0.8,0.642,0.0,2,0.0973,-7.865,0,0.235,140.05100000000002,4,0.28800000000000003,-1.0984581616231726,208.0
714,29906,0.234,0.386,0.407,1.86e-06,6,0.0999,-7.095,0,0.0268,69.387,4,0.456,-1.2967247214501678,230.0
715,77035,0.35100000000000003,0.654,0.6,0.0,1,0.083,-7.492000000000001,1,0.311,185.888,3,0.445,-0.7215405229235453,235.0
716,297918,0.5760000000000001,0.67,0.7,5.34e-06,1,0.226,-7.893,1,0.196,69.986,4,0.648,0.08136726345687881,160.0
717,826684,0.51,0.7140000000000001,0.667,0.0,10,0.134,-7.228,0,0.262,129.954,4,0.242,0.1303287956097423,209.0
718,2753222,0.368,0.836,0.499,0.0,0,0.108,-7.282,1,0.118,133.988,4,0.51,0.9701335810166211,194.0
719,22096,0.0219,0.77,0.684,6.159999999999999e-05,0,0.128,-6.854,1,0.0768,130.03,4,0.479,-1.5132318168194863,283.0
720,25922,0.433,0.6890000000000001,0.5870000000000001,0.0,6,0.22,-4.9510000000000005,1,0.0461,89.95299999999997,4,0.185,-1.524213712573264,209.0
721,26667,0.188,0.5720000000000001,0.631,2.31e-05,1,0.259,-8.389,1,0.104,77.51899999999998,4,0.219,-1.1669363974119529,249.0
722,11214459,0.392,0.688,0.569,0.000175,10,0.12,-7.0070000000000014,0,0.0375,109.041,4,0.359,1.9371476805741557,252.0
723,23445,0.443,0.621,0.648,1.34e-05,1,0.128,-6.652,1,0.273,78.27199999999998,4,0.613,-1.3921308895572422,255.0
724,30420,0.213,0.505,0.741,8.26e-06,8,0.0787,-6.316,1,0.0354,91.025,4,0.239,-1.1060208728418448,242.0
725,61588,0.34600000000000003,0.74,0.8140000000000001,0.0,5,0.37,-5.127999999999999,1,0.187,119.817,4,0.281,-0.9133924815817664,242.0
726,3297524,0.317,0.7809999999999999,0.42,0.0,0,0.111,-9.725,0,0.304,127.801,4,0.603,1.0915964870866022,195.0
727,2868659,0.123,0.624,0.8029999999999999,0.0,10,0.114,-4.105,0,0.246,166.018,4,0.821,1.1580559089929428,188.0
728,1698926,0.239,0.79,0.7070000000000001,0.0,8,0.0859,-7.089,0,0.113,102.024,4,0.6509999999999999,0.9415138924793955,175.0
729,904573,0.685,0.833,0.794,0.0,11,0.17,-8.27,1,0.425,102.069,4,0.625,0.6163325080553886,270.0
730,197614,0.264,0.405,0.648,7.91e-05,4,0.17800000000000002,-8.62,1,0.0578,107.558,4,0.713,-0.43222912252739815,307.0
731,56452,0.214,0.8,0.805,0.0,6,0.14400000000000002,-4.269,0,0.0989,96.037,4,0.452,-0.786644590106789,180.0
732,8608317,0.0118,0.782,0.639,2.04e-06,7,0.0969,-8.315,0,0.157,134.967,4,0.274,1.6340989124530645,245.0
